Components	Title	Text
IC1	Polygenic Architecture of Brain Structure and Lifestyle	IC1 emerges as a broadly polygenic factor without pronounced enrichment in any pre-curated gene sets, suggesting wide-ranging genetic influences on brain structure. This component also appears influenced by lifestyle factors, highlighting traits such as smoking and alcohol consumption. The most significant SNP of IC1 is located in a locus mapping to VCAN (Rahmani et al., 2006), which encodes an extracellular matrix component important for cell adhesion. CDC42, a Rho GTPase, is identified through locus mapping to genes within this component. Located on chromosome 1, CDC42 plays a pivotal role in orchestrating the actin cytoskeleton and is integral to neuronal morphogenesis, axonal guidance, and synapse formation (Etienne-Manneville & Hall, 2002). These functions are underpinned by its ability to regulate cell polarity and membrane dynamics in developing neurons. In the same locus on chromosome 1 we also found WNT4, identified by both locus gene mapping and via MAGMA gene analysis, which further supports a role in structural and organizational processes within the nervous system. WNT4, as part of the Wnt signaling pathway, mediates cell fate specification, cell-to-cell adhesion, and tissue patterning, all of which are vital to neurodevelopment and neural circuit maintenance (Khan & Verma, 2025). ACTR1B, located on chromosome 2, is identified as the most significant gene in the MAGMA analysis for this component, being also present in the locus mapping to gene. ACTR1B encodes subunits of dynactin, which is crucial for retrograde axonal transport and interacts with the actin cytoskeleton (Schroer, 2004). This further reinforces the component's link to cytoskeletal dynamics and neuronal structure. The MRI brain measures that load most heavily on IC1 predominantly reflect diffusion metrics in white matter tracts, indicative of underlying differences in microstructural properties. These data, when integrated with the genetic findings, point to a possible collective influence of actin-mediated cytoskeletal remodeling and cell adhesion mechanisms on white matter organization. This component appears highly distributed across the genome, consistent with a polygenic architecture and non-specific mechanisms such as cell adhesion.
IC2	Myelination and Stress Response	IC2 is a much less widespread polygenic component, showing several clear peak loci. IC2 tentatively reflects myelin-associated pathways, stress-response mechanisms, and neurodegenerative processes. The Manhattan plot for this component shows a notable peak on chromosome 17, mapping to, CRHR1 (corticotropin-releasing hormone receptor 1) on chromosome 17 linking IC2 to stress regulation (Perrelli et al., 2024). As a mediator of the hypothalamic-pituitary-adrenal (HPA) axis, CRHR1 modulates systemic stress responses. The same locus also involves MAPT (microtubule-associated protein tau), which is related to neurodegeneration. This is also underscored by the FUMA trait analysis, showing that this locus has been previously associated with multiple neurological diseases such as Parkonsin's and Alzheimer's disease. The second most significant locus maps to HAPLN1 (hyaluronan and proteoglycan link protein 1) on chromosome 5, which encodes a protein critical for extracellular matrix (ECM) stability. By maintaining ECM integrity, HAPLN1 supports oligodendrocyte function and myelin structure, aligning with the component's focus on myelination (Oohashi et al., 2015). Two other IC2 loci each map to myelin proteins; MOBP (myelin-associated oligodendrocyte basic protein) and MBP (myelin basic protein) on chromosomes 3 and 18, respectively. MOBP stabilizes the myelin membrane, while MBP ensures myelin compaction, both vital for efficient axonal conduction (Aggarwal et al., 2013). MRI traits prominently loading on IC2 include total brain volume, total surface area, ventral diencephalon and striatum volumes, and multiple diffusion-based measures. While diffusion metrics reflect myelinated fibre pathways, other traits such as brain volume may capture broader structural or neurodevelopmental correlates. The ventral diencephalon is interesting as a top region for this locus, as it contains the hypothalamus, thus part of the HPA-axis. Finally, the GWAS catalog analyses resulted in hundreds of non-MRI traits previously associated with aforementioned loci, including neurodegeneration, psychiatric conditions, lifestyle factors, and blood biomarkers suggest IC2 integrates myelination, stress pathways, and environmental influences, shaping brain structure and integrity.
IC3	Cortical Development	IC3 is distinguished by a strong genetic signal evidenced by a huge peak on chromosome 5. This locus also emerged in IC1, but is much more prominent for IC3. The locus maps to two genes involved in extracellular matrix (ECM) organization and cell adhesion: VCAN (versican) and HAPLN1 (hyaluronan and proteoglycan link protein 1). Both genes are also identified as the most strongly significant genes in both locus mapping to genes and MAGMA statistics. VCAN is a large chondroitin sulfate proteoglycan critical for cellular adhesion, migration, and tissue remodeling, particularly during neural development. HAPLN1 contributes to ECM stability by cross-linking hyaluronan with proteoglycans, facilitating structural integrity in the developing brain. The associated gene set GOBP_NK_T_CELL_DIFFERENTIATION suggests that immune-modulatory processes, including the development and activation of NK and T cells, may intersect with brain development in this component. From a phenotypic standpoint, HP_APLASIA_HYPOPLASIA_OF_THE_NASAL_SEPTUM indicates developmental anomalies potentially sharing underlying pathways with brain development. MRI traits loading onto IC3 show contrasting effects across cortical volume and thickness versus subcortical volumes. Taken together, IC3 appears to represent core genetic underpinnings of cortical development, with strong evidence from a prominent peak on chromosome 5 driven by VCAN and HAPLN1.
IC4	Polygenic Regulation of MAPK Signaling and Neuronal Plasticity	IC4 is characterized by a relatively sparse genetic profile, indicating a highly distributed polygenic architecture. Yet its associated gene sets point toward phosphatase-mediated regulation of the mitogen-activated protein kinase (MAPK) pathway. In particular, GOMF_MAP_KINASE_TYROSINE_SERINE_THREONINE_PHOSPHATASE_ACTIVITY and GOMF_PROTEIN_TYROSINE_THREONINE_PHOSPHATASE_ACTIVITY highlight the dephosphorylation of MAPK components, which is instrumental in modulating cell growth, differentiation, and survival (Shaul & Seger, 2007). Within the nervous system, MAPK activity underpins numerous processes central to neuronal plasticity, including learning, memory formation, and synaptic remodeling. The high-level involvement of phosphatases, such as dual-specificity phosphatases (DUSPs), underscores the fine-tuned control of phosphorylation states necessary for precise neural function (Thomas & Huganir, 2004). From an MRI traits perspective, IC4 reflects volumetric, thickness, and diffusion-weighted imaging measures, though specific trait correlations are lacking. The absence of robust single-gene drivers or well-defined trait associations points to a widespread, polygenic influence on neural microstructure or functional connectivity. Consequently, IC4 is likely reflective of broad, systemic modulation of brain imaging phenotypes through fundamental cell signaling processes, implying that variations in phosphatase-driven MAPK regulation can have diffuse but meaningful effects on brain structure and function.
IC5	Inflammation and Neurotrophic Support	IC5 is notable for a prominent genetic locus on chromosome 6 overlapping the human leukocyte antigen (HLA) region, as clearly seen by a spike in the Manhattan plot and identified both via locus gene mapping and MAGMA gene analysis. This dominant signal from the HLA region strongly underscores the component's immunological underpinnings. The HLA complex encodes molecules pivotal for antigen presentation, facilitating immune surveillance and contributing to inflammatory processes that can influence neural tissue integrity. Beyond this immunological signature, BDNF (brain-derived neurotrophic factor) on chromosome 11 emerges as a key contributor, though its signal is less prominent than the HLA region (Lima Giacobbo et al., 2019). BDNF is essential for neuronal growth, survival, and synaptic plasticity, and has been repeatedly implicated in learning and memory formation, particularly within medial temporal lobe structures. There are also indications that BDNF is protective against neuroinflammation (Porter & O'Connor, 2022). Additional genes contributing to IC5 include GMNC (geminin coiled-coil domain containing) on chromosome 3, a chromatin-binding factor that governs cell cycle progression and DNA replication, and SCFD2 (Sec1 family domain containing) on chromosome 4 (both of these genes are identified via locus gene mapping and MAGMA analysis), which participates in vesicular exocytosis and, consequently, neurotransmitter release and synaptic communication. The recurrent involvement of VCAN and HAPLN1 on chromosome 5, also observed in other components, further emphasizes the role of extracellular matrix organization in immune and trophic signals. MRI traits loading on IC5 are predominantly localized to the temporal lobes—particularly diffusion and T1-weighted intensity measures. Given that the temporal lobe is rich in BDNF expression and highly susceptible to inflammatory processes, these converging signals may point to an integrated mechanism by which immune-related pathways and neurotrophic factors shape regional brain structure and function. Altogether, IC5 may thus encapsulate an interplay between immunogenetic factors (notably HLA loci), neurotrophic support (via BDNF), and extracellular matrix remodeling (via VCAN and HAPLN1), culminating in modulations of temporal lobe microstructure and function. The genetic architecture of IC5 is largely driven by the strong signal from the HLA region on chromosome 6.
IC6	Genetic Associations with Motor Pathways and Unclear Functional Interpretation	IC6 features a prominent genetic locus on chromosome 1, encompassing genes such as MR1 (major histocompatibility complex, class I–related) and STX6 (syntaxin 6). MR1 is involved in presenting microbial metabolites to immune cells, while STX6 plays a role in intracellular transport. Another locus on chromosome 6 includes CENPW (centromere protein W), important for chromosome segregation during cell division. These genes were identified through locus mapping (Kwon et al., 2007). MRI traits with high loadings on IC6 are primarily related to motor pathways, including the corticospinal tract, precentral gyrus, brainstem, and cerebellum. Interestingly, gene set enrichment analysis highlighted GOBP_HINDLIMB_MORPHOGENESIS as a significant association for IC6. However, the connection between this developmental gene set and the other genetic and neuroimaging findings for IC6 is not immediately apparent, and the functional meaning of this component remains uncertain. In conclusion, IC6 captures a combination of genetic associations and motor-related MRI traits. While we have identified suggestive genes and a gene set, a definitive interpretation of the underlying biological processes represented by IC6 is currently lacking.
IC7	Lifestyle and Ventricles	IC7 is characterized by a prominent genetic signal on chromosome 16, with FBXO31 (F-box protein 31) emerging as the most significant gene in both MAGMA and locus mapping analyses. FBXO31, may have a role in regulating the cell cycle as well as dendrite growth and neuronal migration (Vadhvani et al., 2013). A secondary locus on chromosome 7 implicates GNA12 (G protein subunit alpha 12), a regulator of Gα12/13 signaling pathways. GNA12 is essential for neuronal migration and synaptic organization during development. Its oncogenic roles are well-documented, but its intersection with neurodevelopmental pathways highlights potential pleiotropy in IC7's architecture (Moers et al., 2008). Trait associations for IC7 include ventricular volume, tau pathology, and many lifestyle factors (e.g., sleep, BMI, physical activity, smoking, diet). MRI measures with strongest loadings localize to the ventricles, thalamus, and fornix, regions sensitive to cerebrospinal fluid (CSF) dynamics and structural atrophy. Ventricular enlargement, a nonspecific biomarker of brain atrophy, correlates with aging and neurodegeneration. Lifestyle factors may indirectly influence these phenotypes through metabolic or inflammatory pathways, though genetic causality remains unproven.
IC8	Glutamatergic Signaling and Cortical Development	IC8 is driven by genes linked to zinc and calcium homeostasis, intersecting with glutamatergic synaptic function and cortical development. All genes are significant in both locus gene mapping and MAGMA analyses. SLC39A8 (solute carrier family 39 member 8, chromosome 4), a zinc transporter critical for systemic and neuronal zinc regulation, indirectly modulates synaptic plasticity and NMDA receptor activity (Lichten & Cousins, 2009). Variants in SLC39A8 are associated with neurodevelopmental risks (Poulter et al., 2013). MSRB3 (methionine sulfoxide reductase B3, chromosome 12), a zinc-dependent enzyme, mitigates oxidative damage to proteins, preserving mitochondrial integrity and neuronal viability. DOC2A (double C2-like domain-containing alpha, chromosome 16), a calcium sensor mostly expressed in brain tissues, regulates neurotransmitter release in glutamatergic synapses (Courtney et al., 2018). Notably, chromosome 16 contributes PPP4C (protein phosphatase 4 catalytic subunit) and YPEL3 (yippee-like 3), both located in the 16p11.2 region. PPP4C has an important role for cortical development, while YPEL3 modulates cellular senescence and growth arrest, processes tied to developmental stability. The 16p11.2 locus is a known hotspot for structural polymorphisms linked to autism and intellectual disability, aligning with IC8's neurodevelopmental focus (Toyo-oka et al., 2008). MRI traits loading onto IC8 predominantly highlight cortical thickness variations in glutamatergic-rich regions, such as the prefrontal and sensory cortices. Trait associations include lifestyle factors (diet, alcohol intake, smoking) and ventricular volume. While lifestyle behaviors may influence zinc/calcium availability, their genetic interplay with IC8 loci remains observational. Ventricular enlargement, a marker of brain atrophy, may reflect broader disruptions in ion homeostasis or developmental pathways. IC8's genetic architecture integrates zinc/calcium signaling (SLC39A8, DOC2A), redox balance (MSRB3), and developmental regulation (PPP4C, YPEL3), underscoring a convergence of synaptic, metabolic, and structural mechanisms in neurodevelopment and cortical integrity.
IC9	Genetic Control of Brain Asymmetry and Lateralized Cognitive Functions	IC9 is marked by a significant locus on chromosome 14 encompassing DAAM1 (dishevelled-associated activator of morphogenesis 1), which showed the most significant gene-level association in MAGMA analysis. DAAM1 is integral to Wnt/β-catenin signaling, a core pathway governing cell fate, tissue patterning, and cytoskeletal dynamics, and drives actin cytoskeleton rearrangements required for cell polarity and axonal guidance (Habas et al., 2001). Also significant are ZIC1 and ZIC4 (zinc-finger proteins of the cerebellum 1 and 4) on chromosome 3. These genes regulate transcriptional programs for midline patterning and cerebellar development, and are implicated in structural asymmetries (Aruga, 2004). Trait associations for IC9 highlight mathematics and language aptitudes, as well as systemic left–right body asymmetries. MRI traits show differential loadings in occipital regions versus language-associated cortices, and higher loadings for right hemisphere thickness and intensity. In sum, IC9 captures a genetic architecture governing brain lateralization, strongly driven by DAAM1 and supported by ZIC1 and ZIC4, all genes playing roles in tissue patterning and axon guidance, and aligning with lateralized brain functions and structural features.
IC10	Lipid and Semaphorin Pathways in Myelination	IC10 reflects a polygenic profile, with loci converging on lipid metabolism and axon guidance pathways. Three major genes define its lipid-related dimension: GAL3ST1 (chromosome 22), ABHD12 (chromosome 20), and SLC27A3 (chromosome 1), showing significance in both locus gene mapping and MAGMA statistics. GAL3ST1 catalyzes sulfation of galactosylceramide, generating sulfatides critical for myelin stability and neuronal conductivity. ABHD12 hydrolyzes lysophosphatidylserine (lyso-PS), a pro-inflammatory lipid implicated in synaptic pruning and microglial regulation; mutations here are linked to PHARC syndrome (polyneuropathy, hearing loss, ataxia) (El-Fasakhany et al., 2001). SLC27A3 mediates long-chain fatty acid transport, influencing neuronal and glial metabolic homeostasis (Kazantzis & Stahl, 2012). The GOCC_SEMAPHORIN_RECEPTOR_COMPLEX gene-set underscores semaphorin signaling, a pathway guiding axonal pathfinding and neural migration. Semaphorins (e.g., SEMA3A) and receptors (e.g., neuropilins, plexins) regulate cytoskeletal dynamics, shaping neural circuitry in development and adulthood (Takahashi et al., 1999). Trait associations span blood lipid markers (LDL, HDL), insulin resistance, dietary patterns, and mental health indices, suggesting lipid-semaphorin crosstalk may influence metabolic and cognitive outcomes. MRI traits highlight gray–white matter intensity contrast in the nucleus accumbens and basal ganglia, regions where myelin integrity depends on sulfatide synthesis (GAL3ST1). Diffusion metrics in the cerebellum and brainstem align with semaphorin-mediated axon guidance defects. In summary, IC10 captures genetic interplay between lipid metabolism (ABHD12, GAL3ST1, SLC27A3) and semaphorin signaling, potentially affecting myelination, neural connectivity, and systemic metabolism. While polygenic, lipid-related loci dominate its architecture.
